word	word_index	number_of_complex_annotators	context
crippling	16	7	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
uncertainty	17	6	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
revenue	21	6	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
insurgency	34	8	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
assume	5	4	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
shrinks	22	1	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
power	6	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
richest	10	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
nation	11	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
time	14	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
public	20	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
falling	26	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
price	27	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
oil	29	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
threatens	35	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
country	37	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
northeast	39	0	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .
fashioned	2	4	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
populist	6	6	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
exorbitant	17	9	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
corruption	23	7	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
political	12	1	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
scandals	24	2	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
stands	8	0	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
apart	9	0	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
class	13	0	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
known	14	0	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
tastes	18	0	He has fashioned himself as a populist who stands apart from a political class known for its exorbitant tastes and high - profile corruption scandals .
congratulate	7	4	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
rival	5	2	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
President	0	0	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
called	3	0	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
according	12	0	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
members	14	0	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
party	18	0	President Goodluck Jonathan called his rival to congratulate him Tuesday night , according to members of Buhari 's party .
message	1	0	That message could be an important step toward limiting post - election violence .
important	5	0	That message could be an important step toward limiting post - election violence .
step	6	0	That message could be an important step toward limiting post - election violence .
limiting	8	0	That message could be an important step toward limiting post - election violence .
violence	12	0	That message could be an important step toward limiting post - election violence .
disputes	6	4	About 1,000 people were killed in disputes over the 2011 presidential contest .
people	2	0	About 1,000 people were killed in disputes over the 2011 presidential contest .
killed	4	0	About 1,000 people were killed in disputes over the 2011 presidential contest .
presidential	10	0	About 1,000 people were killed in disputes over the 2011 presidential contest .
contest	11	0	About 1,000 people were killed in disputes over the 2011 presidential contest .
foreseeable	20	9	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
patronage	27	9	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
electoral	33	5	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
fraud	34	3	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
appeared	4	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
many	6	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
rule	16	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
thanks	23	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
powerful	26	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
network	28	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
use	31	0	For years , it appeared to many here that Jonathan 's People 's Democratic Party would rule Nigeria for the foreseeable future , thanks to a powerful patronage network and the use of electoral fraud .
futility	3	9	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
embattled	13	9	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
neglected	20	5	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
mounting	22	4	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
insurgency	23	6	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
particularly	8	2	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
sense	1	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
wore	4	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
country	11	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
north	14	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
little	26	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
develop	28	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
country	30	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
poorest	32	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
communities	33	0	A sense of futility wore on Nigerians , particularly in the country 's embattled north , where for years Jonathan neglected the mounting insurgency and did little to develop the country 's poorest communities .
nutria	10	7	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
eradication	11	9	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
drab	14	7	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
whiteboard	27	4	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
wall	7	0	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
team	12	0	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
office	15	0	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
large	26	0	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
names	29	0	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
numbers	31	0	WICOMICO RIVER , Md. -- On the wall of the nutria eradication team 's drab office at the Blackwater National Wildlife Refuge , there 's a large whiteboard with names and numbers on it .
pool	8	3	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
nutria	12	3	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
marshes	19	5	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
bets	2	0	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
many	11	0	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
team	15	0	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
find	16	0	They 're bets for a long - running pool : How many nutria will the team find in the marshes of the Wicomico River ?
guessed	4	1	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
people	2	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
already	14	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
lost	15	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
says	18	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
drives	23	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
back	31	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
road	32	0	`` The people that guessed 90 , 70 , 120 , they ' ve already lost , '' says Stephen Kendrot as he drives along a Wicomico County , Md. , back road .
overcast	3	9	It 's an overcast April afternoon with a long - awaited bit of warmth in the air .
warmth	13	1	It 's an overcast April afternoon with a long - awaited bit of warmth in the air .
bit	11	0	It 's an overcast April afternoon with a long - awaited bit of warmth in the air .
air	16	0	It 's an overcast April afternoon with a long - awaited bit of warmth in the air .
trappers	19	5	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
roaming	21	5	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
project	2	2	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
leader	3	2	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
jon	26	2	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
boats	27	1	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
nutria	1	1	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
coming	5	0	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
back	6	0	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
site	9	0	The nutria project leader is coming back from a site in Quantico , Md. , where four of his trappers are roaming the Wicomico River in jon boats .
nutria	6	2	They ' ve killed about 120 nutria there so far and found a few more this particular morning .
killed	3	0	They ' ve killed about 120 nutria there so far and found a few more this particular morning .
far	9	0	They ' ve killed about 120 nutria there so far and found a few more this particular morning .
found	11	0	They ' ve killed about 120 nutria there so far and found a few more this particular morning .
quest	14	6	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
eradicate	16	9	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
battle	8	1	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
wetlands	43	6	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
rodents	21	3	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
nutria	24	1	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
destroyed	35	1	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
river	1	0	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
site	4	0	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
final	7	0	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
means	26	0	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
otter	28	0	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
state	41	0	The river is the site of the final battle in the long - running quest to eradicate the beaver - like rodents -LRB- `` nutria '' means `` otter '' in Spanish -RRB- that have destroyed thousands of acres of the state 's wetlands over the past 40 years .
taken	2	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
longer	3	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
expected	5	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
news	7	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
articles	8	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
profiled	9	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
waning	11	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
fight	12	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
finally	17	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
state	20	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
almost	22	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
free	23	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
invasive	26	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
rodents	27	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .
require	11	4	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
uniform	16	3	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
motto	21	3	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
emblazoned	29	8	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
public	4	2	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
decided	7	1	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
gopher	38	1	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
campus	41	1	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
mascot	42	1	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
elementary	5	2	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
school	6	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
students	12	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
wear	14	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
school	19	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
Leaders	26	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
small	31	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
letters	32	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
shirts	35	0	SAN FRANCISCO -- A public elementary school decided in 2011 to require students to wear a uniform with the school 's motto , `` Tomorrow 's Leaders , '' emblazoned in small letters on the shirts around a gopher , the campus mascot .
contending	10	4	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
violated	12	6	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
eventually	7	3	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
guarantee	17	4	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
objected	2	6	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
sued	8	2	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
free	19	1	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
speech	20	1	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
uniforms	5	1	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
parent	1	0	One parent objected to the uniforms and eventually sued , contending they violated the First Amendment 's guarantee of free speech .
unanimous	2	8	In a unanimous ruling Friday , a three - judge panel of the 9th U.S. Circuit largely agreed with her .
ruling	3	1	In a unanimous ruling Friday , a three - judge panel of the 9th U.S. Circuit largely agreed with her .
panel	10	1	In a unanimous ruling Friday , a three - judge panel of the 9th U.S. Circuit largely agreed with her .
largely	16	1	In a unanimous ruling Friday , a three - judge panel of the 9th U.S. Circuit largely agreed with her .
agreed	17	1	In a unanimous ruling Friday , a three - judge panel of the 9th U.S. Circuit largely agreed with her .
policy	21	3	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
potentially	10	5	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
violated	11	5	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
justify	29	4	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
standard	34	2	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
panel	1	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
right	14	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
free	16	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
speech	17	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
legal	33	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
difficult	37	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
uniform	20	1	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
said	2	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
words	4	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
Leaders	8	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
students	12	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
school	26	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
district	27	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
meet	39	0	The panel said the words `` Tomorrow 's Leaders '' potentially violated students ' right to free speech and the uniform policy must go unless the school district can justify it under a legal standard that is difficult to meet .
compels	3	6	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
mandates	7	8	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
appointee	32	6	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
policy	2	1	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
speech	4	1	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
motto	10	1	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
joined	36	1	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
selected	40	1	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
written	9	0	The `` policy compels speech because it mandates the written motto , ` Tomorrow 's Leaders , ' on the uniform shirts , '' wrote Judge Jacqueline H. Nguyen , an Obama appointee , who was joined by two judges selected by Republican presidents .
